device_id,phase_type,box_no
GP7627410,1 Phase,2946
GP7627412,1 Phase,2947
GP7627413,1 Phase,2947
GP7627414,1 Phase,2947
GP7627415,1 Phase,2947
GP7627416,1 Phase,2947
GP7627417,1 Phase,2947
GP7627418,1 Phase,2947
GP7627419,1 Phase,2948
GP7627420,1 Phase,2948
GP7627421,1 Phase,2948
GP7627422,1 Phase,2948
GP7627423,1 Phase,2948
GP7627426,1 Phase,2948
GP7627427,1 Phase,2949
GP7627429,1 Phase,2949
GP7627431,1 Phase,2949
GP7627433,1 Phase,2949
GP7627436,1 Phase,2950
GP7627437,1 Phase,2950
GP7627438,1 Phase,2950
GP7627439,1 Phase,2950
GP7627441,1 Phase,2950
GP7627442,1 Phase,2950
GP7627443,1 Phase,2951
GP7627448,1 Phase,2951
GP7627449,1 Phase,2951
GP7627450,1 Phase,2951
GP7627451,1 Phase,2952
GP7627452,1 Phase,2952
GP7627453,1 Phase,2952
GP7627458,1 Phase,2952
GP7627459,1 Phase,2953
GP7627460,1 Phase,2953
GP7627462,1 Phase,2953
GP7627463,1 Phase,2953
GP7627464,1 Phase,2953
GP7627467,1 Phase,2954
GP7627468,1 Phase,2954
GP7627469,1 Phase,2954
GP7627470,1 Phase,2954
GP7627471,1 Phase,2954
GP7627474,1 Phase,2954
GP7627475,1 Phase,2955
GP7627477,1 Phase,2955
GP7627481,1 Phase,2955
GP7627484,1 Phase,2956
GP7627489,1 Phase,2956
GP7627490,1 Phase,2956
GP7627492,1 Phase,2957
GP7627499,1 Phase,2958
GP7627500,1 Phase,2958
GP7627501,1 Phase,2958
GP7627502,1 Phase,2958
GP7627504,1 Phase,2958
GP7627507,1 Phase,2959
GP7627508,1 Phase,2959
GP7627509,1 Phase,2959
GP7627510,1 Phase,2959
GP7627512,1 Phase,2959
GP7627514,1 Phase,2959
GP7627516,1 Phase,2960
GP7627518,1 Phase,2960
GP7627520,1 Phase,2960
GP7627522,1 Phase,2960
GP7627523,1 Phase,2961
GP7627526,1 Phase,2961
GP7627527,1 Phase,2961
GP7627528,1 Phase,2961
GP7627529,1 Phase,2961
GP7627530,1 Phase,2961
GP7627531,1 Phase,2962
GP7627532,1 Phase,2962
GP7627533,1 Phase,2962
GP7627535,1 Phase,2962
GP7627538,1 Phase,2962
GP7627540,1 Phase,2963
GP7627542,1 Phase,2963
GP7627544,1 Phase,2963
GP7627546,1 Phase,2963
GP7627548,1 Phase,2964
GP7627552,1 Phase,2964
GP7627555,1 Phase,2965
GP7627556,1 Phase,2965
GP7627557,1 Phase,2965
GP7627558,1 Phase,2965
GP7627559,1 Phase,2965
GP7627560,1 Phase,2965
GP7627563,1 Phase,2966
GP7627564,1 Phase,2966
GP7627565,1 Phase,2966
GP7627567,1 Phase,2966
GP7627568,1 Phase,2966
GP7627569,1 Phase,2966
GP7627570,1 Phase,2966
GP7627571,1 Phase,2967
GP7627572,1 Phase,2967
GP7627578,1 Phase,2967
GP7627579,1 Phase,2968
GP7627582,1 Phase,2968
GP7627587,1 Phase,2969
GP7627588,1 Phase,2969
GP7627589,1 Phase,2969
GP7627590,1 Phase,2969
GP7627595,1 Phase,2970
